Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	4.076434	3.512165	9.992000	16.890000	
0.009999	3.432417	2.861397	18.030000	28.540000	
0.009996	3.077628	2.539303	24.662000	34.340000	
0.009990	2.801306	2.292441	29.860000	40.000000	
0.009982	2.575041	2.034033	34.410000	45.720000	
0.009973	2.414504	1.872901	38.014000	49.330000	
0.009961	2.290313	1.759730	40.584000	52.060000	
0.009946	2.181852	1.699702	42.964000	53.170000	
0.009930	2.092819	1.712362	45.146000	53.440000	
0.009911	2.020148	1.513973	46.830000	57.760000	
0.009891	1.942730	1.506310	48.790000	58.110000	
0.009868	1.893893	1.437545	49.822000	59.680000	
0.009843	1.837609	1.449908	51.124000	59.780000	
0.009816	1.793828	1.389714	52.128000	61.430000	
0.009787	1.756422	1.376308	52.932000	61.740000	
0.009755	1.712433	1.373223	54.076000	62.030000	
0.009722	1.683998	1.344072	54.814000	62.520000	
0.009686	1.648912	1.306320	55.710000	63.420000	
0.009649	1.609344	1.286227	56.556000	63.960000	
0.009609	1.589139	1.307308	57.126000	63.760000	
0.009568	1.565442	1.305131	57.530000	63.700000	
0.009524	1.538576	1.262857	58.468000	64.360000	
0.009479	1.506260	1.259192	59.152000	64.790000	
0.009431	1.487760	1.203791	59.632000	66.210000	
0.009382	1.459433	1.205215	60.318000	66.890000	
0.009330	1.443059	1.186686	60.702000	66.650000	
0.009277	1.421038	1.161287	61.514000	67.590000	
0.009222	1.401667	1.188406	61.624000	66.640000	
0.009165	1.383557	1.163508	62.084000	67.490000	
0.009106	1.356761	1.186706	62.810000	67.490000	
0.009045	1.347342	1.152259	63.130000	67.830000	
0.008983	1.334930	1.156077	63.374000	67.940000	
0.008918	1.303568	1.184533	64.176000	66.900000	
